Dataset,Model,N,Direct,Best_K5_Tau,Best_K5_Acc,Best_K5_Gain_vs_Direct,Best_K5_Use_Rate,Best_K5_C_to_W,Best_K5_W_to_C,Best_K5_Net,Best_Std_Tau,Best_Std_Acc,Best_Std_Net
GSM8K,Qwen2.5-7B,500,0.914,0.2,0.928,0.014000000000000012,0.028,0,7,7,0.2,0.918,2
GSM8K,InternLM3-8B,500,0.876,0.2,0.906,0.030000000000000027,0.048,3,18,15,0.2,0.884,4
GSM8K,Llama3.1-8B,500,0.816,0.6,0.878,0.062000000000000055,0.192,12,43,31,0.2,0.84,12
GSM8K,Mistral-7B-v0.3,500,0.244,0.6,0.294,0.04999999999999999,0.574,28,53,25,1.0,0.304,30
GSM8K,Gemma2-9B,500,0.888,0.4,0.902,0.014000000000000012,0.04,2,9,7,1.0,0.89,1
ARC-Challenge,Qwen2.5-7B,500,0.916,0.4,0.922,0.006000000000000005,0.02,1,4,3,0.8,0.92,2
ARC-Challenge,InternLM3-8B,500,0.894,0.6,0.93,0.03600000000000003,0.054,3,21,18,0.8,0.922,14
ARC-Challenge,Llama3.1-8B,500,0.864,0.4,0.872,0.008000000000000007,0.046,7,11,4,0.4,0.874,5
ARC-Challenge,Mistral-7B-v0.3,500,0.708,0.6,0.74,0.03200000000000003,0.128,15,31,16,1.0,0.774,33
ARC-Challenge,Gemma2-9B,500,0.916,0.6,0.926,0.010000000000000009,0.028,2,7,5,0.6,0.922,3
GPQA-Diamond,Qwen2.5-7B,198,0.2979797979797979,0.2,0.3535353535353535,0.05555555555555558,0.207070707070707,2,13,11,1.0,0.3333333333333333,7
GPQA-Diamond,InternLM3-8B,198,0.2777777777777778,0.4,0.3131313131313131,0.035353535353535304,0.2979797979797979,10,17,7,0.4,0.2929292929292929,3
GPQA-Diamond,Llama3.1-8B,198,0.2626262626262626,0.6,0.2878787878787879,0.025252525252525304,0.5606060606060606,20,25,5,0.0,0.2626262626262626,0
GPQA-Diamond,Mistral-7B-v0.3,198,0.2373737373737373,0.4,0.2424242424242424,0.005050505050505111,0.2929292929292929,13,14,1,0.0,0.2373737373737373,0
GPQA-Diamond,Gemma2-9B,198,0.303030303030303,0.4,0.3434343434343434,0.04040404040404044,0.207070707070707,7,15,8,0.2,0.3131313131313131,2
